Date,Time,Name,Direction
08/11/21,16:18:37,Henrik Sedin,in
08/11/21,16:18:37,Daniel Sedin,in
08/11/21,16:18:38,Ryan Kesler,in
08/11/21,16:18:39,Pavel Bure,in
08/11/21,16:18:56,John A,in
08/11/21,16:21:12,Henrik Sedin,in
08/11/21,16:21:13,Daniel Sedin,in
08/11/21,16:21:14,Ryan Kesler,in
08/11/21,16:21:15,Pavel Bure,in
08/11/21,16:21:27,Henrik Sedin,out
08/11/21,16:21:28,Daniel Sedin,out
08/11/21,16:21:29,Ryan Kesler,out
08/11/21,16:21:30,Pavel Bure,out
08/11/21,16:22:06,John A,out
09/11/21,13:44:52,Elias Pettersson,in
09/11/21,13:44:54,Elias Pettersson,out
09/11/21,13:45:01,Elias Pettersson,in
09/11/21,13:45:08,Elias Pettersson,in
09/11/21,13:45:09,Elias Pettersson,out
09/11/21,14:10:19,Elias Pettersson,in
09/11/21,14:10:25,Elias Pettersson,out
09/11/21,14:10:36,Daniel Sedin,in
09/11/21,14:10:36,Daniel Sedin,out
09/11/21,14:10:38,Daniel Sedin,in
10/11/21,10:03:05,Elias Pettersson,in
10/11/21,10:03:07,Elias Pettersson,out
10/11/21,10:04:19,John Shorthouse,in
10/11/21,10:04:20,John Shorthouse,out
10/11/21,10:38:29,John Shorthouse,in
10/11/21,10:59:05,John Shorthouse,out
10/11/21,10:59:07,John Shorthouse,out
10/11/21,11:01:59,John Shorthouse,in
10/11/21,11:02:08,John Shorthouse,in
10/11/21,11:02:23,John Shorthouse,in
10/11/21,11:02:26,John Shorthouse,in
10/11/21,11:02:31,John Shorthouse,in
10/11/21,11:02:41,John Shorthouse,in
10/11/21,11:02:45,John Shorthouse,in
10/11/21,11:02:50,John Shorthouse,in
10/11/21,11:02:55,John Shorthouse,in
10/11/21,11:03:04,John Shorthouse,in
10/11/21,11:03:07,John Shorthouse,in
10/11/21,11:03:09,John Shorthouse,in
10/11/21,11:03:26,John Shorthouse,in
10/11/21,11:03:29,John Shorthouse,in
10/11/21,11:03:39,John Shorthouse,in
10/11/21,11:03:41,John Shorthouse,in
10/11/21,11:03:44,John Shorthouse,in
10/11/21,11:03:46,John Shorthouse,in
10/11/21,11:03:48,John Shorthouse,in
10/11/21,11:03:50,John Shorthouse,in
10/11/21,11:03:52,John Shorthouse,in
10/11/21,11:04:04,John Shorthouse,in
10/11/21,11:04:20,John Shorthouse,in
10/11/21,11:04:27,John Shorthouse,out
10/11/21,11:04:32,John Shorthouse,out
10/11/21,11:04:39,John Shorthouse,out
10/11/21,11:04:45,John Shorthouse,in
10/11/21,11:05:52,John Shorthouse,in
10/11/21,11:06:07,John Shorthouse,in
10/11/21,11:06:09,John Shorthouse,in
10/11/21,11:06:17,John Shorthouse,in
10/11/21,11:06:31,John Shorthouse,out
10/11/21,11:06:33,John Shorthouse,in
12/11/21,10:42:58,Loui Eriksson,in
12/11/21,10:42:59,Loui Eriksson,out
12/11/21,10:43:02,Loui Eriksson,in
12/11/21,10:43:02,Loui Eriksson,out
12/11/21,11:01:59,Loui Eriksson,in
12/11/21,11:02:00,Loui Eriksson,out
12/11/21,11:03:00,Loui Eriksson,out
12/11/21,11:05:03,Ryan Kesler,in
12/11/21,11:05:03,Ryan Kesler,out
12/11/21,11:05:16,Ryan Kesler,out
12/11/21,11:05:17,Ryan Kesler,in
12/11/21,11:05:19,Loui Eriksson,out
12/11/21,11:05:19,Loui Eriksson,in
12/11/21,11:05:29,Ryan Kesler,out
12/11/21,11:05:30,Ryan Kesler,in
12/11/21,11:05:53,Ryan Kesler,out
12/11/21,11:05:53,Daniel Sedin,in
12/11/21,11:05:55,Loui Eriksson,out
12/11/21,11:05:56,Loui Eriksson,in
12/11/21,11:06:22,Ryan Kesler,out
12/11/21,11:06:23,Ryan Kesler,in
12/11/21,11:06:31,Daniel Sedin,out
12/11/21,11:06:32,Daniel Sedin,in
12/11/21,11:28:30,Loui Eriksson,in
12/11/21,11:28:30,Loui Eriksson,out
12/11/21,11:28:53,Loui Eriksson,out
12/11/21,11:28:53,Loui Eriksson,in
12/11/21,11:29:02,Loui Eriksson,out
12/11/21,11:30:59,Loui Eriksson,in
12/11/21,11:30:59,Loui Eriksson,out
12/11/21,11:31:17,Loui Eriksson,out
12/11/21,11:31:17,Loui Eriksson,in
12/11/21,11:31:59,Loui Eriksson,out
12/11/21,11:32:00,Loui Eriksson,in
12/11/21,12:24:57,Loui Eriksson,out
12/11/21,12:25:26,Loui Eriksson,out
12/11/21,12:26:03,Loui Eriksson,out
12/11/21,12:27:43,Loui Eriksson,out
12/11/21,12:27:49,Loui Eriksson,in
12/11/21,12:27:50,Loui Eriksson,out
12/11/21,12:29:08,Loui Eriksson,out
12/11/21,12:29:09,Loui Eriksson,in
12/11/21,12:39:18,Daniel Sedin,out
12/11/21,12:39:18,Daniel Sedin,in
12/11/21,12:39:26,Ryan Kesler,in
12/11/21,12:39:35,Ryan Kesler,out
12/11/21,12:39:41,Daniel Sedin,in
12/11/21,12:39:42,Daniel Sedin,out
12/11/21,12:39:48,Pavel Bure,out
12/11/21,12:39:48,Pavel Bure,in
12/11/21,12:39:54,Henrik Sedin,out
12/11/21,12:39:54,Henrik Sedin,in
12/11/21,12:40:05,John B,out
12/11/21,12:40:05,John B,in
12/11/21,12:40:12,John C,out
12/11/21,12:40:13,John C,in
12/11/21,12:40:19,John A,out
12/11/21,12:40:20,John A,in
12/11/21,12:40:27,Elias Pettersson,out
12/11/21,12:40:27,Elias Pettersson,in
12/11/21,12:49:24,Loui Eriksson,in
12/11/21,12:49:25,Loui Eriksson,out
12/11/21,13:09:15,Elias Pettersson,out
12/11/21,13:10:58,Elias Pettersson,in
12/11/21,13:10:59,Elias Pettersson,out
12/11/21,13:47:17,Elias Pettersson,in
12/11/21,13:47:18,Elias Pettersson,out
